product_name,ingredient_name,display_order,raw_name
토리든 다이브인 저분자 히알루론산 세럼,히알루론산,1,히알루론산
토리든 다이브인 저분자 히알루론산 세럼,히알루론산나트륨,2,히알루론산나트륨
토리든 다이브인 저분자 히알루론산 세럼,글리세린,3,글리세린
토리든 다이브인 저분자 히알루론산 세럼,판테놀,4,판테놀
토리든 다이브인 저분자 히알루론산 세럼,나이아신아마이드,5,나이아신아마이드
이니스프리 레티놀 시너지 세럼,레티놀,1,레티놀
이니스프리 레티놀 시너지 세럼,나이아신아마이드,2,나이아신아마이드
이니스프리 레티놀 시너지 세럼,히알루론산나트륨,3,히알루론산나트륨
이니스프리 레티놀 시너지 세럼,글리세린,4,글리세린
이니스프리 레티놀 시너지 세럼,부틸렌글라이콜,5,부틸렌글라이콜
라운드랩 자작나무 수분크림,히알루론산,1,히알루론산
라운드랩 자작나무 수분크림,세라마이드 엔피,2,세라마이드NP
라운드랩 자작나무 수분크림,글리세린,3,글리세린
라운드랩 자작나무 수분크림,판테놀,4,판테놀
라운드랩 자작나무 수분크림,알란토인,5,알란토인
코스알엑스 어드밴스드 스네일 96 무친 에센스,히알루론산,1,히알루론산
코스알엑스 어드밴스드 스네일 96 무친 에센스,나이아신아마이드,2,나이아신아마이드
코스알엑스 어드밴스드 스네일 96 무친 에센스,부틸렌글라이콜,3,부틸렌글라이콜
일리윤 세라마이드 아토 오일,세라마이드 엔피,1,세라마이드NP
일리윤 세라마이드 아토 오일,세라마이드 에이피,2,세라마이드AP
일리윤 세라마이드 아토 오일,세라마이드 이오피,3,세라마이드EOP
일리윤 세라마이드 아토 오일,히알루론산나트륨,4,히알루론산나트륨
넘버즈인 4번 AHA BHA 필링 앰플,글리콜산,1,글리콜산
넘버즈인 4번 AHA BHA 필링 앰플,살리실산,2,살리실산
넘버즈인 4번 AHA BHA 필링 앰플,나이아신아마이드,3,나이아신아마이드
넘버즈인 4번 AHA BHA 필링 앰플,판테놀,4,판테놀
