name,brand,category,subcategory,oliveyoung_id,oliveyoung_rank,source_url,raw_ingredients_text
바이오더마 하이드라비오 토너,바이오더마,skincare,toner,A000000226081,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226081&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1,"정제수, 글리세린, 폴리솔베이트20, 다이소듐이디티에이, 세트리모늄브로마이드, 나이아신아마이드, 자일리톨, 알란토인, 프룩토올리고사카라이드, 만니톨, 헥실데칸올, 소듐하이드록사이드, 시트릭애씨드, 람노오스, 사과씨추출물, 유채스테롤, 토코페롤, 향료료"
아누아 어성초 77 히알루론산 수분 진정 토너,아누아,skincare,toner,A000000248498,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248498&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=2,"약모밀꽃/잎/줄기수(77%), 정제수, 1,2-헥산다이올, 글리세린, 글리세레스-26, 베타인, 펜틸렌글라이콜, 소듐시트레이트, 아이소펜틸다이올, 에틸헥실글리세린, 다이포타슘글리시리제이트, 시트릭애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 판테놀, 소듐파이테이트, 알란토인, 소듐하이알루로네이트(1.1ppm), 약모밀소포(750ppb), 하이드롤라이즈드소듐하이알루로네이트(100.1ppb), 징크피씨에이, 하이드록시프로필트라이모늄하이알루로네이트(100ppb), 락토바실러스발효물, 소듐아세틸레이티드하이알루로네이트(10ppb), 하이드롤라이즈드하이알루로닉애씨드(10ppb), 아이소쿼시트린, 쿼세틴, 하이알루로닉애씨드(2.5ppb), 소듐하이알루로네이트크로스폴리머(1ppb), 포타슘하이알루로네이트(0.2ppb)"
폴라초이스 바하 리퀴드 엑스폴리언트,폴라초이스,skincare,toner,A000000245794,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000245794&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=3,"정제수, 프로필렌글라이콜, 나이아신아마이드, 펜틸렌글라이콜, 글리세린, 살리실릭애씨드(0.5%), 흰버드나무껍질추출물(0.5%), 피이지/피피지-17/6코폴리머, 폴리솔베이트20, 비스-피이지-18메틸에터다이메틸실레인, 소듐파이테이트, 10-하이드록시데카노익애씨드, 알란토인, 다이포타슘글리시리제이트, 카프릴릴글라이콜, 페녹시에탄올, 클로페네신, 소듐하이드록사이드, 1,2-헥산다이올, 소듐하이알루로네이트, 비에이치티"
브링그린 티트리 시카 수딩 토너,브링그린,skincare,toner,A000000189181,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189181&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=4,"정제수, 다이프로필렌글라이콜, 1,2-헥산다이올, 부틸렌글라이콜, 티트리추출물, 티트리잎수, 베타인, 판테놀, 티트리잎추출물, 옥틸도데세스-16, 소듐시트레이트, 시트릭애씨드, 티트리잎오일, 티트리꽃/잎/줄기추출물, 베타인살리실레이트, 병풀추출물, 잔탄검"
토리든 다이브인 저분자 히알루론산 토너,토리든,skincare,toner,A000000180474,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180474&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=5,"정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 알란토인, 판테놀, 쇠비름추출물, 트레할로오스, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(100ppm), 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 2,3-부탄다이올, 펜틸렌글라이콜, 말라카이트추출물, 다이소듐이디티에이, 에틸헥실글리세린"
아비브 어성초 카밍 토너 스킨부스터,아비브,skincare,toner,A000000155253,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000155253&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=6,"정제수, 글리세린, 부틸렌글라이콜, 펜틸렌글라이콜, 베타인, 1,2-헥산다이올, 자일리톨, 약모밀추출물(3,500 ppm), 판테놀, 에틸헥실글리세린, 소듐하이알루로네이트, 비피다발효용해물, 돌콩추출물, 다이소듐이디티에이, 하이드롤라이즈드하이알루로닉애씨드, 잔탄검, 옥탄다이올, 병풀추출물, 토코페롤, 인동덩굴꽃추출물, 황금추출물, 바이오사카라이드검-4, 파스향나무잎추출물"
라운드랩 1025 독도 토너,라운드랩,skincare,toner,A000000137180,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137180&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=7,"정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이"
디오디너리 글리코릭 애시드 7% 엑스폴리에이팅 토너,디오디너리,skincare,toner,A000000223625,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223625&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=9,"정제수, 글라이콜릭애씨드(7%), 다마스크장미꽃수, 수레국화꽃수, 알로에베라잎수, 프로판다이올, 글리세린, 트라이에탄올아민, 아미노메틸프로판올, 인삼추출물, 마운틴페퍼열매추출물, 마운틴페퍼잎추출물, 아스파틱애씨드, 알라닌, 글라이신, 세린, 발린, 아이소류신, 프롤린, 트레오닌, 히스티딘, 페닐알라닌, 글루타믹애씨드, 알지닌, 피씨에이, 소듐피씨에이, 소듐락테이트, 프룩토오스, 글루코오스, 수크로오스, 우레아, 헥실니코티네이트, 덱스트린, 시트릭애씨드, 폴리솔베이트20, 젤란검, 트라이소듐에틸렌다이아민다이석시네이트, 소듐클로라이드, 헥실렌글라이콜, 포타슘솔베이트, 소듐벤조에이트, 1,2-헥산다이올, 카프릴릴글라이콜."
더랩바이블랑두 올리고 히알루론산 딥 토너,더랩바이블랑두,skincare,toner,A000000207054,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207054&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=10,"정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 베타-글루칸, 베타인, 소듐하이알루로네이트(2,700 ppm), 판테놀, 솔비톨, 아세틸글루코사민, 글루쿠로닉애씨드, 알란토인, 토코페롤, 에틸헥실글리세린, 다이소듐이디티에이"
에스네이처 아쿠아 오아시스 토너,에스네이처,skincare,toner,A000000213171,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213171&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=11,"정제수, 다이프로필렌글라이콜, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 베타인, 판테놀, 알란토인, 파파야열매추출물, 글루코노락톤, 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 소듐하이알루로네이트, 글루코오스, 파파인, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머 *젤크림 정제수, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 블루아가베잎추출물, 알란토인, 소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 알지닌, 메틸트라이메티콘, 에틸헥실글리세린, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드로제네이티드폴리(C6-14올레핀), 메틸다이아이소프로필프로피온아마이드, 다이메티콘/비닐다이메티콘크로스폴리머, 솔비탄아이소스테아레이트, 다이소듐이디티에이"
