name,name_en,category,is_restricted,restrict_info
정제수,Water,기본 베이스,FALSE,
글리세린,Glycerin,보습제,FALSE,
부틸렌글라이콜,Butylene Glycol,보습제/용제,FALSE,
나이아신아마이드,Niacinamide,비타민B3/미백 기능성,FALSE,
소듐하이알루로네이트,Sodium Hyaluronate,보습제,FALSE,
하이알루로닉애씨드,Hyaluronic Acid,보습제,FALSE,
하이드롤라이즈드하이알루로닉애씨드,Hydrolyzed Hyaluronic Acid,보습제,FALSE,
소듐아세틸레이티드하이알루로네이트,Sodium Acetylated Hyaluronate,보습제,FALSE,
소듐하이알루로네이트크로스폴리머,Sodium Hyaluronate Crosspolymer,보습제,FALSE,
하이드롤라이즈드소듐하이알루로네이트,Hydrolyzed Sodium Hyaluronate,보습제,FALSE,
하이드록시프로필트라이모늄하이알루로네이트,Hydroxypropyl Trimonium Hyaluronate,보습/컨디셔닝,FALSE,
포타슘하이알루로네이트,Potassium Hyaluronate,보습제,FALSE,
세라마이드엔피,Ceramide NP,피부 장벽,FALSE,
콜레스테롤,Cholesterol,피부 장벽,FALSE,
피토스핑고신,Phytosphingosine,피부 장벽,FALSE,
스핑고리피드,Sphingolipids,피부 장벽,FALSE,
하이드록시프로필비스팔미타마이드엠이에이,Hydroxypropyl Bispalmitamide MEA,피부 장벽 보조,FALSE,
하이드록시프로필비스라우라마이드엠이에이,Hydroxypropyl Bislauramide MEA,피부 장벽 보조,FALSE,
알란토인,Allantoin,진정제,FALSE,
베타인,Betaine,보습제,FALSE,
판테놀,Panthenol,보습제/진정제,FALSE,
트레할로스,Trehalose,보습제,FALSE,
만니톨,Mannitol,보습제/피부 컨디셔너,FALSE,
글리세레스-26,Glycereth-26,보습제,FALSE,
메틸글루세스-20,Methyl Gluceth-20,보습제,FALSE,
하이드롤라이즈드콜라겐,Hydrolyzed Collagen,보습/피부탄력,FALSE,
하이드롤라이즈드글라이코사미노글리칸,Hydrolyzed Glycosaminoglycans,보습,FALSE,
베타-글루칸,Beta-Glucan,보습/면역,FALSE,
프로판다이올,Propanediol,보습제/용제,FALSE,
"1,2-헥산다이올","1,2-Hexanediol",방부제,FALSE,
다이프로필렌글라이콜,Dipropylene Glycol,용제/보습제,FALSE,
에틸헥실글리세린,Ethylhexylglycerin,방부제,FALSE,
펜틸렌글라이콜,Pentylene Glycol,보습제/방부제,FALSE,
카프릴릴글라이콜,Caprylyl Glycol,보습제/방부제 보조,FALSE,
글리세릴카프릴레이트,Glyceryl Caprylate,에몰리언트/방부제 보조,FALSE,
벤질글라이콜,Benzyl Glycol,보습제/방부제 보조,FALSE,
하이드록시아세토페논,Hydroxyacetophenone,방부제 보조,FALSE,
스쿠알란,Squalane,에몰리언트,FALSE,
다이메티콘,Dimethicone,실리콘/에몰리언트,FALSE,
다이메티콘올,Dimethiconol,실리콘,FALSE,
다이페닐다이메티콘,Diphenyl Dimethicone,실리콘/에몰리언트,FALSE,
부틸렌글라이콜다이카프릴레이트/다이카프레이트,Butylene Glycol Dicaprylate/Dicaprate,에몰리언트,FALSE,
세틸에틸헥사노에이트,Cetyl Ethylhexanoate,에몰리언트,FALSE,
펜타에리스리틸테트라아이소스테아레이트,Pentaerythrityl Tetraisostearate,에몰리언트,FALSE,
다이카프릴릴카보네이트,Dicaprylyl Carbonate,에몰리언트,FALSE,
베헤닐알코올,Behenyl Alcohol,에몰리언트/유화제,FALSE,
스테아릭애씨드,Stearic Acid,에몰리언트/유화제,FALSE,
팔미틱애씨드,Palmitic Acid,에몰리언트,FALSE,
아라키딕애씨드,Arachidic Acid,에몰리언트,FALSE,
올레익애씨드,Oleic Acid,에몰리언트,FALSE,
C14-22알코올,C14-22 Alcohols,에몰리언트/유화제,FALSE,
아라키딜알코올,Arachidyl Alcohol,에몰리언트/유화제,FALSE,
